Data;Hora;Liquidação;Descrição;Valor (U$);Saldo da conta (U$)
31/12/2021;05:39;31/12/2021;Retenção Impostos sobre Dividendos ARCC. ARES CAPITAL CORPORATION;-0.72;2.24
31/12/2021;05:39;31/12/2021;Dividendos ARCC. ARES CAPITAL CORPORATION;2.41;4.65
01/01/2022;04:57;03/01/2022;Retenção Impostos sobre Dividendos GOOD. GLADSTONE COMMERCIAL CORP;-0.21;4.44
01/01/2022;04:57;03/01/2022;Retenção Impostos sobre Dividendos TSLX. SIXTH STREET SPECIALTY LENDING;-0.11;4.33
01/01/2022;04:57;03/01/2022;Dividendos AVGO. BROADCOM INC;0.55;4.88
01/01/2022;04:57;03/01/2022;Dividendos TSLX. SIXTH STREET SPECIALTY LENDING;0.36;5.24
01/01/2022;04:57;03/01/2022;Retenção Impostos sobre Dividendos AVGO. BROADCOM INC;-0.17;5.07
01/01/2022;04:57;03/01/2022;Dividendos GOOD. GLADSTONE COMMERCIAL CORP;0.71;5.78
03/01/2022;12:04;05/01/2022;Venda de 0.0149 FB a $ 340.51;5.07;10.85
03/01/2022;12:15;05/01/2022;Compra de 0.03713 ABBV a $ 134.64;-5.00;5.85
03/01/2022;12:16;05/01/2022;Compra de 0.112 VZ a $ 52.23;-5.85;0.00
08/01/2022;04:02;10/01/2022;Retenção Impostos sobre Dividendos GLPI. GAMING & LEISURE PROPERTIES;-0.18;-0.18
08/01/2022;04:02;10/01/2022;Dividendos GLPI. GAMING & LEISURE PROPERTIES;0.60;0.42
15/01/2022;04:35;18/01/2022;Dividendos WPC. W P CAREY INC;0.52;0.94
15/01/2022;04:35;18/01/2022;Retenção Impostos sobre Dividendos WPC. W P CAREY INC;-0.16;0.78
15/01/2022;04:35;18/01/2022;Retenção Impostos sobre Dividendos TSLX. SIXTH STREET SPECIALTY LENDING;-0.63;0.15
15/01/2022;04:35;18/01/2022;Dividendos TSLX. SIXTH STREET SPECIALTY LENDING;2.10;2.25
24/01/2022;14:39;24/01/2022;Câmbio Instantâneo : R$143.64;25.36;27.61
24/01/2022;14:42;26/01/2022;Compra de 0.00219 AMZN a $ 2732.35;-5.98;21.63
24/01/2022;14:45;26/01/2022;Compra de 0.01707 FB a $ 292.88;-5.00;16.63
24/01/2022;14:47;26/01/2022;Compra de 0.41736 PBFX a $ 11.98;-5.00;11.63
24/01/2022;14:48;26/01/2022;Compra de 0.56818 ET a $ 8.8;-5.00;6.63
24/01/2022;14:50;26/01/2022;Compra de 0.0314 CRM a $ 211.11;-6.63;-0.00
01/02/2022;04:13;01/02/2022;Retenção Impostos sobre Dividendos JPM. JPMORGAN CHASE & CO;-0.17;-0.17
01/02/2022;04:13;01/02/2022;Dividendos GOOD. GLADSTONE COMMERCIAL CORP;0.71;0.54
01/02/2022;04:13;01/02/2022;Retenção Impostos sobre Dividendos GOOD. GLADSTONE COMMERCIAL CORP;-0.21;0.33
01/02/2022;04:13;01/02/2022;Dividendos JPM. JPMORGAN CHASE & CO;0.55;0.88
02/02/2022;04:42;02/02/2022;Dividendos T. AT&T INC;2.51;3.39
02/02/2022;04:42;02/02/2022;Retenção Impostos sobre Dividendos VZ. VERIZON COMMUNICATIONS;-0.12;3.27
02/02/2022;04:42;02/02/2022;Retenção Impostos sobre Dividendos T. AT&T INC;-0.75;2.52
02/02/2022;04:43;02/02/2022;Dividendos VZ. VERIZON COMMUNICATIONS;0.40;2.92
02/02/2022;11:48;04/02/2022;Venda de 0.00235 GOOGL a $ 2970.86;6.98;9.90
02/02/2022;11:48;04/02/2022;Venda de 0.02168 FB a $ 322.18;6.98;16.88
02/02/2022;11:51;04/02/2022;Compra de 0.13811 KO a $ 61.11;-8.44;8.44
02/02/2022;11:52;04/02/2022;Compra de 0.05235 PG a $ 161.21;-8.44;NaN
03/02/2022;11:56;03/02/2022;Câmbio Instantâneo : R$149.44;27.43;27.43
03/02/2022;11:57;07/02/2022;Compra de 0.07162 FB a $ 243.5;-17.44;9.99
03/02/2022;12:12;07/02/2022;Compra de 0.00353 AMZN a $ 2800.91;-9.89;0.10
12/02/2022;06:16;14/02/2022;Retenção Impostos sobre Dividendos EPD. ENTERPRISE PRODUCTS PARTNERS;-0.82;-0.72
12/02/2022;06:16;14/02/2022;Dividendos EPD. ENTERPRISE PRODUCTS PARTNERS;2.21;1.49
15/02/2022;03:46;15/02/2022;Retenção Impostos sobre Dividendos MPLX. MPLX LP;-0.51;0.98
15/02/2022;03:46;15/02/2022;Dividendos MPLX. MPLX LP;1.39;2.37
16/02/2022;04:14;16/02/2022;Retenção Impostos sobre Dividendos OHI. OMEGA HEALTHCARE INVESTORS INC;-0.74;1.63
16/02/2022;04:14;16/02/2022;Retenção Impostos sobre Dividendos ABBV. ABBVIE INC;-0.32;1.31
16/02/2022;04:14;16/02/2022;Dividendos OHI. OMEGA HEALTHCARE INVESTORS INC;2.46;3.77
16/02/2022;04:14;16/02/2022;Dividendos ABBV. ABBVIE INC;1.08;4.85
19/02/2022;05:36;22/02/2022;Dividendos ET. ENERGY TRANSFER LP;1.31;6.16
19/02/2022;05:36;22/02/2022;Retenção Impostos sobre Dividendos ET. ENERGY TRANSFER LP;-0.48;5.68
23/02/2022;19:42;23/02/2022;AJUSTE Estorno Retencao Impostos Div - WPC - 15/10/21;0.01;5.69
23/02/2022;19:42;23/02/2022;AJUSTE Estorno Retencao Impostos Div - OHI - 13/08/21;0.06;5.75
23/02/2022;19:42;23/02/2022;AJUSTE Estorno Retencao Impostos Div - WPC - 15/07/21;0.01;5.76
23/02/2022;19:42;23/02/2022;AJUSTE Estorno Retencao Impostos Div - HTGC - 17/11/21;0.36;6.12
23/02/2022;19:42;23/02/2022;AJUSTE Estorno Retencao Impostos Div - OHI - 15/11/21;0.16;6.28
23/02/2022;19:42;23/02/2022;AJUSTE Estorno Retencao Impostos Div - WPC - 15/10/21;0.02;6.30
23/02/2022;19:42;23/02/2022;AJUSTE Estorno Retencao Impostos Div - GLPI - 23/12/21;0.01;6.31
23/02/2022;19:42;23/02/2022;AJUSTE Estorno Retencao Impostos Div - O - 13/08/21;0.03;6.34
23/02/2022;19:42;23/02/2022;AJUSTE Estorno Retencao Impostos Div - WPC - 15/07/21;0.02;6.36
23/02/2022;19:42;23/02/2022;AJUSTE Estorno Retencao Impostos Div - GLPI - 7/01/22;0.10;6.46
23/02/2022;19:42;23/02/2022;AJUSTE Estorno Retencao Impostos Div - GLPI - 24/09/21;0.01;6.47
23/02/2022;19:42;23/02/2022;AJUSTE Estorno Retencao Impostos Div - OHI - 15/11/21;0.03;6.50
23/02/2022;19:42;23/02/2022;AJUSTE Estorno Retencao Impostos Div - OHI - 13/08/21;0.01;6.51
