Data;Hora;Liquidação;Descrição;Valor (U$);Saldo da conta (U$)
23/02/2022;19:42;23/02/2022;AJUSTE Estorno Retencao Impostos Div - GLPI - 7/01/22;0.05;6.56
24/02/2022;09:05;24/02/2022;Câmbio Instantâneo : R$90.61;17.49;24.05
24/02/2022;11:47;28/02/2022;Compra de 0.43725 T a $ 22.87;-10.00;14.05
24/02/2022;11:51;28/02/2022;Compra de 0.03589 FB a $ 195.59;-7.02;7.03
24/02/2022;11:52;28/02/2022;Compra de 0.34362 GOOD a $ 20.46;-7.03;-0.00
01/03/2022;06:25;01/03/2022;Retenção Impostos sobre Dividendos GOOD. GLADSTONE COMMERCIAL CORP;-0.21;-0.21
01/03/2022;06:25;01/03/2022;Dividendos GOOD. GLADSTONE COMMERCIAL CORP;0.71;0.50
05/03/2022;05:12;07/03/2022;Retenção Impostos sobre Dividendos PFE. PFIZER INC;-0.14;0.36
05/03/2022;05:12;07/03/2022;Dividendos PFE. PFIZER INC;0.48;0.84
11/03/2022;04:04;11/03/2022;Dividendos PBFX. PBF LOGISTICS LP;2.32;3.16
11/03/2022;04:04;11/03/2022;Dividendos MSFT. MICROSOFT CORP;0.16;3.32
11/03/2022;04:04;11/03/2022;Retenção Impostos sobre Dividendos PBFX. PBF LOGISTICS LP;-0.86;2.46
11/03/2022;04:04;11/03/2022;Retenção Impostos sobre Dividendos MSFT. MICROSOFT CORP;-0.05;2.41
15/03/2022;12:47;17/03/2022;Venda de 0.01681 AVGO a $ 595.59;10.01;12.42
15/03/2022;12:48;17/03/2022;Compra de 0.04141 PG a $ 149.94;-6.21;6.21
15/03/2022;12:49;17/03/2022;Compra de 0.10397 KO a $ 59.73;-6.21;-0.00
17/03/2022;03:47;17/03/2022;Retenção Impostos sobre Dividendos HTGC. HERCULES CAPITAL INC;-0.44;-0.44
17/03/2022;03:47;17/03/2022;Dividendos HTGC. HERCULES CAPITAL INC;1.46;1.02
17/03/2022;16:25;21/03/2022;Venda de 0.03162 ABBV a $ 157.97;5.00;6.02
17/03/2022;16:30;21/03/2022;Venda de 0.0928 PFE a $ 53.87;5.00;11.02
17/03/2022;16:31;21/03/2022;Compra de 0.05334 FB a $ 206.39;-11.01;0.01
19/03/2022;05:02;21/03/2022;Retenção Impostos sobre Dividendos ABR. ARBOR REALTY TRUST INC;-0.72;-0.71
19/03/2022;05:02;21/03/2022;Dividendos ABR. ARBOR REALTY TRUST INC;2.40;1.69
22/03/2022;12:17;24/03/2022;Venda de 0.00248 AMZN a $ 3314.99;8.22;9.91
22/03/2022;12:19;24/03/2022;Venda de 0.00185 GOOGL a $ 2810.7;5.20;15.11
22/03/2022;12:21;24/03/2022;Venda de 0.02875 MSFT a $ 304.75;8.76;23.87
22/03/2022;12:35;24/03/2022;Compra de 0.15798 PG a $ 151.09;-23.87;-0.00
26/03/2022;03:06;28/03/2022;Dividendos GLPI. GAMING & LEISURE PROPERTIES;1.72;1.72
26/03/2022;03:06;28/03/2022;Retenção Impostos sobre Dividendos GLPI. GAMING & LEISURE PROPERTIES;-0.52;1.20
01/04/2022;03:04;01/04/2022;Dividendos ARCC. ARES CAPITAL CORPORATION;2.65;3.85
01/04/2022;03:05;01/04/2022;Retenção Impostos sobre Dividendos GOOD. GLADSTONE COMMERCIAL CORP;-0.23;3.62
01/04/2022;03:05;01/04/2022;Retenção Impostos sobre Dividendos AVGO. BROADCOM INC;-0.14;3.48
01/04/2022;03:05;01/04/2022;Dividendos TSLX. SIXTH STREET SPECIALTY LENDING;0.56;4.04
01/04/2022;03:05;01/04/2022;Dividendos GOOD. GLADSTONE COMMERCIAL CORP;0.75;4.79
01/04/2022;03:05;01/04/2022;Dividendos AVGO. BROADCOM INC;0.48;5.27
01/04/2022;03:05;01/04/2022;Retenção Impostos sobre Dividendos TSLX. SIXTH STREET SPECIALTY LENDING;-0.17;5.10
01/04/2022;03:05;01/04/2022;Retenção Impostos sobre Dividendos ARCC. ARES CAPITAL CORPORATION;-0.80;4.30
02/04/2022;03:50;04/04/2022;Retenção Impostos sobre Dividendos KO. COCA COLA COMPANY;-0.02;4.28
02/04/2022;03:50;04/04/2022;Dividendos KO. COCA COLA COMPANY;0.06;4.34
04/04/2022;13:35;06/04/2022;Venda de 0.00299 AMZN a $ 3345.74;10.00;14.34
04/04/2022;13:40;06/04/2022;Compra de 0.0946 WMT a $ 151.58;-14.34;-0.00
14/04/2022;11:31;19/04/2022;Venda de 1.27511 WBD a $ 26.01;33.17;33.17
14/04/2022;11:32;19/04/2022;Compra de 1.70715 T a $ 19.43;-33.17;NaN
14/04/2022;11:37;19/04/2022;Venda de 0.18832 EPD a $ 26.61;5.01;5.01
14/04/2022;11:39;19/04/2022;Venda de 0.43782 ET a $ 11.42;5.00;10.01
14/04/2022;11:40;19/04/2022;Compra de 0.03188 WMT a $ 156.81;-5.00;5.01
14/04/2022;11:41;19/04/2022;Compra de 0.0768 KO a $ 65.23;-5.01;NaN
15/04/2022;04:38;18/04/2022;Dividendos WPC. W P CAREY INC;0.52;0.52
15/04/2022;04:38;18/04/2022;Retenção Impostos sobre Dividendos WPC. W P CAREY INC;-0.16;0.36
19/04/2022;02:54;19/04/2022;Dividendos TSLX. SIXTH STREET SPECIALTY LENDING;2.10;2.46
19/04/2022;02:54;19/04/2022;Retenção Impostos sobre Dividendos TSLX. SIXTH STREET SPECIALTY LENDING;-0.63;1.83
30/04/2022;04:23;02/05/2022;Retenção Impostos sobre Dividendos GOOD. GLADSTONE COMMERCIAL CORP;-0.23;1.60
30/04/2022;04:23;02/05/2022;Dividendos GOOD. GLADSTONE COMMERCIAL CORP;0.75;2.35
03/05/2022;03:02;03/05/2022;Retenção Impostos sobre Dividendos VZ. VERIZON COMMUNICATIONS;-0.12;2.23
03/05/2022;03:03;03/05/2022;Dividendos JPM. JPMORGAN CHASE & CO;0.55;2.78
03/05/2022;03:03;03/05/2022;Retenção Impostos sobre Dividendos JPM. JPMORGAN CHASE & CO;-0.17;2.61
03/05/2022;03:03;03/05/2022;Retenção Impostos sobre Dividendos T. AT&T INC;-0.44;2.17
03/05/2022;03:03;03/05/2022;Dividendos VZ. VERIZON COMMUNICATIONS;0.40;2.57
03/05/2022;03:03;03/05/2022;Dividendos T. AT&T INC;1.46;4.03
13/05/2022;03:17;13/05/2022;Retenção Impostos sobre Dividendos EPD. ENTERPRISE PRODUCTS PARTNERS;-0.78;3.25
13/05/2022;03:17;13/05/2022;Dividendos EPD. ENTERPRISE PRODUCTS PARTNERS;2.12;5.37
13/05/2022;13:53;17/05/2022;Compra de 0.03647 WMT a $ 147.23;-5.37;NaN
14/05/2022;04:51;16/05/2022;Retenção Impostos sobre Dividendos OHI. OMEGA HEALTHCARE INVESTORS INC;-0.74;-0.74
14/05/2022;04:51;16/05/2022;Retenção Impostos sobre Dividendos MPLX. MPLX LP;-0.51;-1.25
14/05/2022;04:51;16/05/2022;Dividendos OHI. OMEGA HEALTHCARE INVESTORS INC;2.46;1.21
14/05/2022;04:51;16/05/2022;Dividendos MPLX. MPLX LP;1.39;2.60
17/05/2022;05:21;17/05/2022;Dividendos ABBV. ABBVIE INC;1.03;3.63
17/05/2022;05:21;17/05/2022;Dividendos PG. PROCTER & GAMBLE CO;0.23;3.86
17/05/2022;05:21;17/05/2022;Retenção Impostos sobre Dividendos ABBV. ABBVIE INC;-0.31;3.55
17/05/2022;05:21;17/05/2022;Retenção Impostos sobre Dividendos PG. PROCTER & GAMBLE CO;-0.07;3.48
20/05/2022;03:28;20/05/2022;Retenção Impostos sobre Dividendos ET. ENERGY TRANSFER LP;-0.52;2.96
20/05/2022;03:28;20/05/2022;Dividendos ET. ENERGY TRANSFER LP;1.41;4.37
25/05/2022;03:54;25/05/2022;Retenção Impostos sobre Dividendos HTGC. HERCULES CAPITAL INC;-0.44;3.93
25/05/2022;03:54;25/05/2022;Dividendos HTGC. HERCULES CAPITAL INC;1.46;5.39
27/05/2022;03:08;27/05/2022;Retenção Impostos sobre Dividendos PBFX. PBF LOGISTICS LP;-0.86;4.53
27/05/2022;03:08;27/05/2022;Dividendos PBFX. PBF LOGISTICS LP;2.32;6.85
27/05/2022;10:55;01/06/2022;Compra de 0.05389 WMT a $ 127.11;-6.85;NaN
01/06/2022;03:22;01/06/2022;Dividendos GOOD. GLADSTONE COMMERCIAL CORP;0.75;0.75
01/06/2022;03:22;01/06/2022;Retenção Impostos sobre Dividendos WMT. WALMART INC;-0.02;0.73
01/06/2022;03:22;01/06/2022;Retenção Impostos sobre Dividendos ABR. ARBOR REALTY TRUST INC;-0.74;-0.01
01/06/2022;03:22;01/06/2022;Retenção Impostos sobre Dividendos GOOD. GLADSTONE COMMERCIAL CORP;-0.23;-0.24
01/06/2022;03:22;01/06/2022;Dividendos ABR. ARBOR REALTY TRUST INC;2.47;2.23
01/06/2022;03:22;01/06/2022;Dividendos WMT. WALMART INC;0.07;2.30
07/06/2022;13:45;09/06/2022;Venda de 0.288 PBFX a $ 17.41;5.01;7.31
07/06/2022;13:45;09/06/2022;Venda de 0.18 EPD a $ 28.27;5.09;12.40
07/06/2022;13:46;09/06/2022;Compra de 0.07959 KO a $ 62.82;-5.00;7.40
07/06/2022;13:48;09/06/2022;Compra de 0.52744 HTGC a $ 14.03;-7.40;-0.00
10/06/2022;03:05;10/06/2022;Dividendos MSFT. MICROSOFT CORP;0.14;0.14
10/06/2022;03:05;10/06/2022;Retenção Impostos sobre Dividendos MSFT. MICROSOFT CORP;-0.04;0.10
11/06/2022;03:25;13/06/2022;Dividendos PFE. PFIZER INC;0.45;0.55
11/06/2022;03:25;13/06/2022;Retenção Impostos sobre Dividendos PFE. PFIZER INC;-0.14;0.41
13/06/2022;12:21;13/06/2022;Câmbio Instantâneo : R$49.81;9.50;9.91
13/06/2022;12:23;15/06/2022;Compra de 0.08254 WMT a $ 120.06;-9.91;-0.00
25/06/2022;03:39;27/06/2022;Retenção Impostos sobre Dividendos GLPI. GAMING & LEISURE PROPERTIES;-0.53;-0.53
25/06/2022;03:39;27/06/2022;Dividendos GLPI. GAMING & LEISURE PROPERTIES;1.75;1.22
28/06/2022;16:17;29/06/2022;Câmbio Padrão : R$109.58;20.39;21.61
28/06/2022;16:19;30/06/2022;Venda de 0.4891 WPC a $ 86.31;42.21;63.82
28/06/2022;16:26;30/06/2022;Compra de 1.11607 ABR a $ 13.44;-15.00;48.82
28/06/2022;16:27;30/06/2022;Compra de 0.80775 TSLX a $ 18.57;-15.00;33.82
28/06/2022;16:29;30/06/2022;Compra de 0.71209 GOOD a $ 18.86;-13.43;20.39
01/07/2022;03:24;01/07/2022;Retenção Impostos sobre Dividendos ARCC. ARES CAPITAL CORPORATION;-0.80;19.59
01/07/2022;03:24;01/07/2022;Dividendos AVGO. BROADCOM INC;0.48;20.07
01/07/2022;03:24;01/07/2022;Dividendos GOOD. GLADSTONE COMMERCIAL CORP;0.75;20.82
01/07/2022;03:24;01/07/2022;Retenção Impostos sobre Dividendos AVGO. BROADCOM INC;-0.14;20.68
01/07/2022;03:24;01/07/2022;Dividendos ARCC. ARES CAPITAL CORPORATION;2.65;23.33
01/07/2022;03:27;01/07/2022;Retenção Impostos sobre Dividendos GOOD. GLADSTONE COMMERCIAL CORP;-0.23;23.10
01/07/2022;03:27;01/07/2022;Dividendos TSLX. SIXTH STREET SPECIALTY LENDING;0.20;23.30
01/07/2022;03:27;01/07/2022;Retenção Impostos sobre Dividendos TSLX. SIXTH STREET SPECIALTY LENDING;-0.06;23.24
01/07/2022;10:46;06/07/2022;Venda de 0.65 PBFX a $ 15.33;9.96;33.20
01/07/2022;10:47;06/07/2022;Venda de 0.25 EPD a $ 24.43;6.11;39.31
01/07/2022;10:53;06/07/2022;Venda de 0.357 PBFX a $ 15.42;5.50;44.81
01/07/2022;11:13;06/07/2022;Compra de 0.85809 HTGC a $ 13.5;-11.58;33.23
01/07/2022;11:20;06/07/2022;Compra de 0.30872 APAM a $ 35.63;-11.00;22.23
01/07/2022;11:21;06/07/2022;Compra de 0.5911 STWD a $ 20.69;-12.23;10.00
01/07/2022;11:22;06/07/2022;Compra de 0.99207 GLAD a $ 10.08;-10.00;0.00
02/07/2022;03:30;05/07/2022;Dividendos KO. COCA COLA COMPANY;0.18;0.18
02/07/2022;03:30;05/07/2022;Retenção Impostos sobre Dividendos KO. COCA COLA COMPANY;-0.05;0.13
16/07/2022;04:44;18/07/2022;Retenção Impostos sobre Dividendos TSLX. SIXTH STREET SPECIALTY LENDING;-0.63;-0.50
16/07/2022;04:44;18/07/2022;Dividendos TSLX. SIXTH STREET SPECIALTY LENDING;2.10;1.60
30/07/2022;03:21;01/08/2022;Dividendos GLAD. GLADSTONE CAPITAL CORP;0.07;1.67
30/07/2022;03:21;01/08/2022;Retenção Impostos sobre Dividendos GLAD. GLADSTONE CAPITAL CORP;-0.02;1.65
30/07/2022;03:21;01/08/2022;Retenção Impostos sobre Dividendos GOOD. GLADSTONE COMMERCIAL CORP;-0.25;1.40
30/07/2022;03:21;01/08/2022;Dividendos GOOD. GLADSTONE COMMERCIAL CORP;0.84;2.24
02/08/2022;03:20;02/08/2022;Retenção Impostos sobre Dividendos T. AT&T INC;-0.58;1.66
02/08/2022;03:20;02/08/2022;Dividendos T. AT&T INC;1.94;3.60
02/08/2022;03:23;02/08/2022;Retenção Impostos sobre Dividendos VZ. VERIZON COMMUNICATIONS;-0.12;3.48
02/08/2022;03:23;02/08/2022;Retenção Impostos sobre Dividendos JPM. JPMORGAN CHASE & CO;-0.17;3.31
02/08/2022;03:23;02/08/2022;Dividendos VZ. VERIZON COMMUNICATIONS;0.40;3.71
02/08/2022;03:23;02/08/2022;Dividendos JPM. JPMORGAN CHASE & CO;0.55;4.26
13/08/2022;03:12;15/08/2022;Retenção Impostos sobre Dividendos EPD. ENTERPRISE PRODUCTS PARTNERS;-0.73;3.53
13/08/2022;03:12;15/08/2022;Retenção Impostos sobre Dividendos MPLX. MPLX LP;-0.51;3.02
13/08/2022;03:12;15/08/2022;Dividendos MPLX. MPLX LP;1.39;4.41
13/08/2022;03:12;15/08/2022;Dividendos EPD. ENTERPRISE PRODUCTS PARTNERS;1.96;6.37
